id,title,authors,venue,year,abstract,thumbnail,paper_url,project_url,code_url,data_url,video_url,slides_url,featured,tags,keywords
deepspeak-dataset,"The DeepSpeak Dataset","Sarah Barrington, Maty Bohacek, Hany Farid",CVPR Findings,2026,"Large-scale dataset of real and deepfake footage for detecting face-swap and lip-sync deepfakes.",/images/publications/deepspeak.gif,https://arxiv.org/abs/2408.05366,,,https://huggingface.co/datasets/faridlab/deepspeak_v1,,,false,"deepfake;dataset;face-swap;lip-sync","media integrity"
concept-erasing,"Evaluation of Concept Erasing for Artistic Styles in Diffusion Models","Maty Bohacek",C&C,2024,"Evaluating methods for erasing artistic style concepts from diffusion models.",,https://dl.acm.org/doi/10.1145/3635636.3664268,,,,,false,"concept erasing;diffusion models;artistic style;generative AI","interpretability"
ai-news-anchor-workshop,"From Open-Source to Primetime: The Making of an AI News Anchor and its Role in the New Landscape of Disinformation","Maty Bohacek",MAD-W,2024,"Documenting the creation of an AI news anchor and its implications for the disinformation landscape.",,https://dl.acm.org/doi/10.1145/3643491.3665282,,,,,false,"deepfake;news anchor;disinformation;AI","media integrity"
xgboost-vs-gpt4,"When XGBoost Outperforms GPT-4 on Text Classification: A Case Study","Maty Bohacek, Michal Bravansky",TrustNLP-W,2024,"Case study showing XGBoost can outperform GPT-4 on certain text classification tasks.",,https://aclanthology.org/2024.trustnlp-1.5/,,,,,false,"text classification;XGBoost;GPT-4;NLP",""
ai-news-anchor-pnas,"The making of an AI news anchor—and its implications","Maty Bohacek, Hany Farid",PNAS,2024,"Analysis of the creation and implications of AI-generated news anchors for media integrity.",,https://www.pnas.org/doi/10.1073/pnas.2315678121,,,,,false,"deepfake;news anchor;PNAS;disinformation","media integrity"
slovakia-deepfake-elections,"Slovakia as the Precursor to Deepfake-Enabled Election Interference: Lessons Learned and Pathways Forward","Maty Bohacek",ICWSM,2024,"Analyzing Slovakia's experience with deepfake-enabled election interference and lessons for other democracies.",,https://workshop-proceedings.icwsm.org/pdf/2024_67.pdf,,,,,false,"deepfake;elections;disinformation;policy","media integrity"
lip-sync-deepfake,"Lost in Translation: Lip-Sync Deepfake Detection from Audio-Video Mismatch","Maty Bohacek, Hany Farid",CVPR-W,2024,"Robust technique to detect lip-sync deepfakes by comparing audio-to-text and lip-reading transcriptions.",,https://openaccess.thecvf.com/content/CVPR2024W/WMF/html/Bohacek_Lost_in_Translation_Lip-Sync_Deepfake_Detection_from_Audio-Video_Mismatch_CVPRW_2024_paper.html,,,,,false,"deepfake detection;lip-sync;audio-video;forensics","media integrity"
nepotistic-training,"Nepotistically Trained Generative-AI Models Collapse","Maty Bohacek, Hany Farid",ICLR-W,2025,"Demonstrates how generative models retrained on their outputs produce distorted images with lasting effects.",/images/publications/nepotistic-training.jpg,https://arxiv.org/abs/2311.12202,,,,,false,"model collapse;generative AI;training data;AI safety","transparency"
sign-spotter,"Sign Spotter: Design and Initial Evaluation of an Automatic Video-Based American Sign Language Dictionary System","Maty Bohacek, Saad Hassan",ASSETS,2023,"Initial design and user evaluation of a video-based ASL dictionary system allowing real-time and pre-recorded sign lookup.",,https://dl.acm.org/doi/10.1145/3597638.3614497,,,,,false,"sign language;ASL;dictionary;accessibility","sign language"
czech-ing-the-news,"Czech-ing the News: Article Trustworthiness Dataset for Czech","Maty Bohacek, Michal Bravansky, Filip Trhlik, Vaclav Moravec",WASSA-W,2023,"A dataset for article-level trustworthiness assessment in Czech news media.",,https://aclanthology.org/2023.wassa-1.10/,,,,,false,"misinformation;Czech;dataset;trustworthiness;NLP","media integrity"
unseen-a-plus-student,"The Unseen A+ Student: Navigating the Impact of Large Language Models in the Classroom","Maty Bohacek",AIED-W,2023,"Exploring the impact of large language models on education and academic integrity.",,https://openreview.net/forum?id=9ZKJLYg5EQ,,,,,false,"LLM;education;academic integrity",""
mutr-hand-pose,"MuTr: Multi-Stage Transformer for Hand Pose Estimation from Full-Scene Depth Image","Jakub Kanis, Ivan Gruber, Zdenek Krnoul, Maty Bohacek, Jakub Straka, Marek Hruz",Sensors,2023,"Multi-stage transformer architecture for hand pose estimation from full-scene depth images.",,https://www.mdpi.com/1424-8220/23/12/5509,,,,,false,"hand pose estimation;transformer;depth image","sign language"
few-shot-sign-recognition,"Learning from What is Already Out There: Few-shot Sign Language Recognition with Online Dictionaries","Maty Bohacek, Marek Hruz",FG,2023,"Few-shot sign language recognition leveraging existing online dictionary resources.",,https://ieeexplore.ieee.org/document/10042544/,,,,,false,"sign language;few-shot learning;dictionary","sign language"
geometric-photometric-faces,"A Geometric and Photometric Exploration of GAN and Diffusion Synthesized Faces","Maty Bohacek, Hany Farid",CVPR-W,2023,"Geometric and photometric analysis distinguishing GAN and diffusion model synthesized faces.",,https://openaccess.thecvf.com/content/CVPR2023W/WMF/html/Bohacek_A_Geometric_and_Photometric_Exploration_of_GAN_and_Diffusion_Synthesized_Faces_CVPRW_2023_paper.html,,,,,false,"face synthesis;GAN;diffusion;forensics","media integrity"
misinformation-in-the-wild,"Misinformation Detection in the Wild: News Source Classification as a Proxy for Non-article Texts","Maty Bohacek",NLP4PI-W,2022,"Using news source classification as a proxy for detecting misinformation in non-article texts.",,https://aclanthology.org/2022.nlp4pi-1.10/,,,,,false,"misinformation;NLP;classification","media integrity"
protecting-world-leaders,"Protecting world leaders against deep fakes using facial, gestural, and vocal mannerisms","Maty Bohacek, Hany Farid",PNAS,2022,"Biometric-based approach to protect world leaders against deepfakes using facial, gestural, and vocal mannerisms.",,https://www.pnas.org/doi/10.1073/pnas.2216035119,,,,,false,"deepfake detection;biometrics;world leaders;PNAS","media integrity"
efficient-sign-recognition,"Combining Efficient and Precise Sign Language Recognition: Good pose estimation library is all you need","Maty Bohacek, Zhuo Cao, Marek Hruz",CVPR-W,2022,"Achieves state-of-the-art on WLASL100 using MediaPipe pose estimation, being 11x faster than comparable methods.",,https://arxiv.org/abs/2210.00893,,,,,false,"sign language recognition;pose estimation;MediaPipe;efficiency","sign language"
protecting-zelenskyy,"Protecting President Zelenskyy against Deep Fakes","Maty Bohacek, Hany Farid",ArXiv,2022,"Applying deepfake detection techniques to protect President Zelenskyy from synthetic media attacks.",,https://arxiv.org/abs/2206.12043,,,,,false,"deepfake detection;Zelenskyy;biometrics","media integrity"
ensemble-sign-recognition,"One Model is Not Enough: Ensembles for Isolated Sign Language Recognition","Marek Hruz, Ivan Gruber, Jakub Kanis, Maty Bohacek, Miroslav Hlavac, Zdenek Krnoul",Sensors,2022,"Ensemble methods for improving isolated sign language recognition accuracy.",,https://www.mdpi.com/1424-8220/22/13/5043,,,,,false,"sign language;ensemble;recognition","sign language"
spoter,"Sign Pose-based Transformer for Word-level Sign Language Recognition","Maty Bohacek, Marek Hruz",WACV-W,2022,"Novel transformer architecture for word-level sign language recognition using skeletal pose data.",,https://openaccess.thecvf.com/content/WACV2022W/HADCV/papers/Bohacek_Sign_Pose-Based_Transformer_for_Word-Level_Sign_Language_Recognition_WACVW_2022_paper.pdf,,https://github.com/matyasbohacek/spoter,,,,false,"sign language;transformer;pose;recognition","sign language"
mutual-support-sign-language,"Mutual support of data modalities in the task of sign language recognition","Ivan Gruber, Zdenek Krnoul, Marek Hruz, Jakub Kanis, Maty Bohacek",CVPR-W,2021,"Exploring how different data modalities support each other in sign language recognition tasks.",,https://openaccess.thecvf.com/content/CVPR2021W/ChaLearn/html/Gruber_Mutual_Support_of_Data_Modalities_in_the_Task_of_Sign_Language_Recognition_CVPRW_2021_paper.html,,,,,false,"sign language;multimodal;data modalities","sign language"
disinfo-low-resource,"Developing disinformation detection models in low-resource contexts: Czech news article dataset for source-level credibility","Maty Bohacek",Preprint,2021,"Czech news article dataset and methods for source-level credibility assessment in low-resource contexts.",,https://data.matsworld.io/research/cnsc-paper-bohacek.pdf,,,,,false,"misinformation;Czech;low-resource;credibility","media integrity"
how-realistic-ai-faces,"How realistic are AI-generated faces?","A. A. McGuire, Maty Bohacek, Hany Farid, Paul Taylor, Sophie J. Nightingale",Journal of Vision,2026,"Studying human perception of AI-generated faces and their realism.",,https://farid.berkeley.edu/downloads/publications/ecvp24_poster.pdf,,,,,false,"AI-generated faces;perception;realism","media integrity"
